Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC RIVIERA,"998,000",710.42,"1,405",Feb-22,WEST COAST VALE,Resale,Strata,66,"15,121",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
THE STELLAR,"2,050,000","1,388.56","1,476",Feb-22,WEST COAST ROAD,Resale,Strata,129,"15,891",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE TRILINQ,"1,580,000","1,108.69","1,425",Feb-22,JALAN LEMPENG,Resale,Strata,103,"15,340",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
VARSITY PARK CONDOMINIUM,"2,100,000","1,894.46","1,108",Feb-22,WEST COAST ROAD,Resale,Strata,176,"11,932",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
THE STELLAR,"2,420,000","2,002.1","1,209",Feb-22,WEST COAST ROAD,Resale,Strata,186,"13,011",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE TRILINQ,"2,120,000","1,517.72","1,397",Feb-22,JALAN LEMPENG,Resale,Strata,141,"15,035",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,01 to 05
THE TRILINQ,"1,190,000",710.42,"1,675",Feb-22,JALAN LEMPENG,Resale,Strata,66,"18,030",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,21 to 25
PARC RIVIERA,"1,500,000","1,334.74","1,124",Feb-22,WEST COAST VALE,Resale,Strata,124,"12,097",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,36 to 40
ONE-NORTH RESIDENCES,"1,450,000","1,108.69","1,308",Feb-22,ONE-NORTH GATEWAY,Resale,Strata,103,"14,078",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
PASIR VIEW PARK,"1,435,000","1,011.82","1,418",Feb-22,PASIR PANJANG ROAD,Resale,Strata,94,"15,266",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
TWIN VEW,"1,293,500",818.06,"1,581",Feb-22,WEST COAST VALE,Sub Sale,Strata,76,"17,020",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
TWIN VEW,"1,150,000",731.95,"1,571",Feb-22,WEST COAST VALE,Sub Sale,Strata,68,"16,912",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
WHISTLER GRAND,"950,000",613.55,"1,548",Jan-22,WEST COAST VALE,Sub Sale,Strata,57,"16,667",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
FABER CREST,"1,000,000","1,011.82",988,Jan-22,FABER HEIGHTS,Resale,Strata,94,"10,638",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
THE ROCHESTER RESIDENCES,"2,700,000","1,862.17","1,450",Jan-22,ROCHESTER DRIVE,Resale,Strata,173,"15,607",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,26 to 30
PARC RIVIERA,"968,000",645.84,"1,499",Jan-22,WEST COAST VALE,Resale,Strata,60,"16,133",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
THE TRILINQ,"2,250,000","1,517.72","1,482",Jan-22,JALAN LEMPENG,Resale,Strata,141,"15,957",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,21 to 25
THE MAYLEA,"1,480,000","1,022.58","1,447",Jan-22,PASIR PANJANG ROAD,Resale,Strata,95,"15,579",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE INFINITI,"1,680,000","1,248.62","1,345",Jan-22,WEST COAST PARK,Resale,Strata,116,"14,483",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
WEST BAY CONDOMINIUM,"1,275,000","1,280.92",995,Jan-22,WEST COAST CRESCENT,Resale,Strata,119,"10,714",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
LE HILL CONDOMINIUM,"1,550,000","1,173.28","1,321",Jan-22,PASIR PANJANG HILL,Resale,Strata,109,"14,220",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC RIVIERA,"960,000",645.84,"1,486",Jan-22,WEST COAST VALE,Resale,Strata,60,"16,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
THE TRILINQ,"855,000",538.2,"1,589",Jan-22,JALAN LEMPENG,Resale,Strata,50,"17,100",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
ONE-NORTH RESIDENCES,"1,490,000",979.52,"1,521",Jan-22,ONE-NORTH GATEWAY,Resale,Strata,91,"16,374",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
THE CLEMENT CANOPY,"1,838,000","1,108.69","1,658",Jan-22,CLEMENTI AVENUE 1,Resale,Strata,103,"17,845",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,31 to 35
CLEMENTIWOODS CONDOMINIUM,"1,950,000","1,679.18","1,161",Jan-22,WEST COAST ROAD,Resale,Strata,156,"12,500",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
GOLD COAST CONDOMINIUM,"1,900,000","1,474.67","1,288",Jan-22,PASIR PANJANG ROAD,Resale,Strata,137,"13,869",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,560,000",914.94,"1,705",Jan-22,JALAN LEMPENG,Resale,Strata,85,"18,353",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
DOVER PARKVIEW,"1,050,000",936.47,"1,121",Jan-22,DOVER RISE,Resale,Strata,87,"12,069",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
VILLAGE @ PASIR PANJANG,"2,430,000","1,743.77","1,394",Jan-22,PASIR PANJANG ROAD,Resale,Strata,162,"15,000",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,500,000",936.47,"1,602",Jan-22,JALAN LEMPENG,Resale,Strata,87,"17,241",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
THE VISION,"1,250,000",904.18,"1,382",Jan-22,WEST COAST CRESCENT,Resale,Strata,84,"14,881",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,06 to 10
HERITAGE VIEW,"1,750,000","1,506.96","1,161",Jan-22,DOVER RISE,Resale,Strata,140,"12,500",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,11 to 15
CLEMENTIWOODS CONDOMINIUM,"758,800",559.73,"1,356",Jan-22,WEST COAST ROAD,Resale,Strata,52,"14,592",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
TWIN VEW,"1,945,000","1,248.62","1,558",Jan-22,WEST COAST VALE,Sub Sale,Strata,116,"16,767",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,01 to 05
TWIN VEW,"1,155,000",742.72,"1,555",Jan-22,WEST COAST VALE,Sub Sale,Strata,69,"16,739",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,16 to 20
GLORIA MANSION,"70,300,000","36,317.74","1,936",Jan-22,PASIR PANJANG ROAD,Resale,Strata,"3,374","20,836",-,Apartment,31,Freehold,05,Rest of Central Region,01 to 05
NEWEST,"785,000",570.49,"1,376",Jan-22,WEST COAST DRIVE,Resale,Strata,53,"14,811",-,Apartment,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
NEWEST,"810,000",527.44,"1,536",Jan-22,WEST COAST DRIVE,Resale,Strata,49,"16,531",-,Apartment,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
THE MAYLEA,"2,308,888","1,657.66","1,393",Jan-22,PASIR PANJANG ROAD,Resale,Strata,154,"14,993",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
SEAHILL,"700,000",505.91,"1,384",Jan-22,WEST COAST CRESCENT,Resale,Strata,47,"14,894",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,11 to 15
HERITAGE VIEW,"3,200,000","2,626.42","1,218",Jan-22,DOVER RISE,Resale,Strata,244,"13,115",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
DOVER PARKVIEW,"1,590,000","1,248.62","1,273",Jan-22,DOVER RISE,Resale,Strata,116,"13,707",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
TWIN VEW,"1,650,000","1,054.87","1,564",Jan-22,WEST COAST VALE,Sub Sale,Strata,98,"16,837",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,26 to 30
THE GRANDHILL,"1,750,000","1,259.39","1,390",Jan-22,PASIR PANJANG HILL,Resale,Strata,117,"14,957",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
BLUE HORIZON,"1,470,000","1,216.33","1,209",Jan-22,WEST COAST CRESCENT,Resale,Strata,113,"13,009",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,21 to 25
WESTCOVE CONDOMINIUM,"1,400,000","1,248.62","1,121",Jan-22,WEST COAST CRESCENT,Resale,Strata,116,"12,069",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
THE CLEMENT CANOPY,"1,170,000",656.6,"1,782",Jan-22,CLEMENTI AVENUE 1,Resale,Strata,61,"19,180",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
THE TRILINQ,"1,750,000","1,108.69","1,578",Jan-22,JALAN LEMPENG,Resale,Strata,103,"16,990",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
THE VISION,"1,170,000",818.06,"1,430",Jan-22,WEST COAST CRESCENT,Resale,Strata,76,"15,395",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,21 to 25
DOVER PARKVIEW,"1,089,000",968.76,"1,124",Jan-22,DOVER RISE,Resale,Strata,90,"12,100",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
VIVA VISTA,"600,000",333.68,"1,798",Jan-22,SOUTH BUONA VISTA ROAD,Resale,Strata,31,"19,355",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
HERITAGE VIEW,"1,450,000","1,162.51","1,247",Jan-22,DOVER RISE,Resale,Strata,108,"13,426",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,11 to 15
BLUE HORIZON,"1,120,000",936.47,"1,196",Jan-22,WEST COAST CRESCENT,Resale,Strata,87,"12,874",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,16 to 20
WATERFRONT @ FABER,"1,005,000",721.19,"1,394",Dec-21,FABER WALK,Resale,Strata,67,"15,000",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
THE VISION,"1,850,000","1,776.06","1,042",Dec-21,WEST COAST CRESCENT,Resale,Strata,165,"11,212",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,01 to 05
THE VISION,"1,250,000",904.18,"1,382",Dec-21,WEST COAST CRESCENT,Resale,Strata,84,"14,881",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,06 to 10
ONE-NORTH RESIDENCES,"1,520,000","1,011.82","1,502",Dec-21,ONE-NORTH GATEWAY,Resale,Strata,94,"16,170",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
KENT RIDGE HILL RESIDENCES,"1,158,800",645.84,"1,794",Dec-21,SOUTH BUONA VISTA ROAD,Sub Sale,Strata,60,"19,313",-,Apartment,1,99 yrs lease commencing from 2018,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,620,000","1,248.62","1,297",Dec-21,DOVER RISE,Resale,Strata,116,"13,966",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
THE CLEMENT CANOPY,"1,050,000",656.6,"1,599",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,61,"17,213",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
HUNDRED TREES,"2,285,000","1,474.67","1,550",Dec-21,WEST COAST DRIVE,Resale,Strata,137,"16,679",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
THE CLEMENT CANOPY,"1,268,800",710.42,"1,786",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,66,"19,224",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,31 to 35
PARC RIVIERA,"900,000",602.78,"1,493",Dec-21,WEST COAST VALE,Resale,Strata,56,"16,071",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
TWIN VEW,"1,800,000","1,140.98","1,578",Dec-21,WEST COAST VALE,Sub Sale,Strata,106,"16,981",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,16 to 20
THE PEAK@BALMEG,"3,900,000","2,508.01","1,555",Dec-21,BALMEG HILL,Resale,Strata,233,"16,738",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
CLEMENTIWOODS CONDOMINIUM,"1,360,000","1,054.87","1,289",Dec-21,WEST COAST ROAD,Resale,Strata,98,"13,878",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
THE PEAK@BALMEG,"2,500,000","1,506.96","1,659",Dec-21,BALMEG HILL,Resale,Strata,140,"17,857",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
HERITAGE VIEW,"1,648,000","1,194.8","1,379",Dec-21,DOVER RISE,Resale,Strata,111,"14,847",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,01 to 05
PARC RIVIERA,"905,000",602.78,"1,501",Dec-21,WEST COAST VALE,Resale,Strata,56,"16,161",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"1,680,000","1,345.5","1,249",Dec-21,WEST COAST ROAD,Resale,Strata,125,"13,440",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
THE TRILINQ,"1,270,000",753.48,"1,686",Dec-21,JALAN LEMPENG,Resale,Strata,70,"18,143",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
THE TRILINQ,"880,000",538.2,"1,635",Dec-21,JALAN LEMPENG,Resale,Strata,50,"17,600",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
THE CLEMENT CANOPY,"1,260,000",731.95,"1,721",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,68,"18,529",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,31 to 35
RESIDENTIAL APARTMENTS,"1,400,000","1,474.67",949,Dec-21,PASIR PANJANG ROAD,Resale,Strata,137,"10,219",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
VARSITY PARK CONDOMINIUM,"1,320,000",990.29,"1,333",Dec-21,WEST COAST ROAD,Resale,Strata,92,"14,348",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
THE TRILINQ,"2,100,000","1,517.72","1,384",Dec-21,JALAN LEMPENG,Resale,Strata,141,"14,894",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
PARC RIVIERA,"1,590,000","1,151.75","1,381",Dec-21,WEST COAST VALE,Resale,Strata,107,"14,860",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
PARC RIVIERA,"998,888",710.42,"1,406",Dec-21,WEST COAST VALE,Resale,Strata,66,"15,135",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
GOLD COAST CONDOMINIUM,"1,750,000","1,474.67","1,187",Dec-21,PASIR PANJANG ROAD,Resale,Strata,137,"12,774",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
VARSITY PARK CONDOMINIUM,"1,750,000","1,453.14","1,204",Dec-21,WEST COAST ROAD,Resale,Strata,135,"12,963",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
THE TRILINQ,"1,855,000","1,345.5","1,379",Dec-21,JALAN LEMPENG,Resale,Strata,125,"14,840",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
CLEMENTIWOODS CONDOMINIUM,"830,000",645.84,"1,285",Dec-21,WEST COAST ROAD,Resale,Strata,60,"13,833",-,Condominium,1,99 yrs lease commencing from 2006,05,Outside Central Region,01 to 05
PARC RIVIERA,"900,000",602.78,"1,493",Dec-21,WEST COAST VALE,Resale,Strata,56,"16,071",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
DOVER PARKVIEW,"1,030,000",936.47,"1,100",Dec-21,DOVER RISE,Resale,Strata,87,"11,839",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
DOVER PARKVIEW,"1,115,000",968.76,"1,151",Dec-21,DOVER RISE,Resale,Strata,90,"12,389",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
WEST BAY CONDOMINIUM,"930,000",893.41,"1,041",Dec-21,WEST COAST CRESCENT,Resale,Strata,83,"11,205",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
TWIN VEW,"1,940,000","1,248.62","1,554",Dec-21,WEST COAST VALE,Sub Sale,Strata,116,"16,724",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,01 to 05
THE CLEMENT CANOPY,"1,750,000","1,108.69","1,578",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,103,"16,990",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
TWIN VEW,"1,720,000","1,065.64","1,614",Dec-21,WEST COAST VALE,Sub Sale,Strata,99,"17,374",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
PARC RIVIERA,"1,430,000",990.29,"1,444",Dec-21,WEST COAST VALE,Resale,Strata,92,"15,543",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,26 to 30
PARC RIVIERA,"900,000",602.78,"1,493",Dec-21,WEST COAST VALE,Resale,Strata,56,"16,071",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
HERITAGE VIEW,"1,228,000",968.76,"1,268",Dec-21,DOVER RISE,Resale,Strata,90,"13,644",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,01 to 05
THE CLEMENT CANOPY,"1,680,000",990.29,"1,696",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,92,"18,261",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,26 to 30
THE MAYLEA,"2,320,000","1,679.18","1,382",Dec-21,PASIR PANJANG ROAD,Resale,Strata,156,"14,872",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
TWIN VEW,"1,638,000","1,054.87","1,553",Dec-21,WEST COAST VALE,Sub Sale,Strata,98,"16,714",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,16 to 20
PARC IMPERIAL,"1,950,000","1,948.28","1,001",Dec-21,PASIR PANJANG ROAD,Resale,Strata,181,"10,773",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
ONE-NORTH RESIDENCES,"2,040,000","1,334.74","1,528",Dec-21,ONE-NORTH GATEWAY,Resale,Strata,124,"16,452",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"1,270,000",764.24,"1,662",Dec-21,WEST COAST VALE,Sub Sale,Strata,71,"17,887",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
THE CLEMENT CANOPY,"1,090,000",635.08,"1,716",Dec-21,CLEMENTI AVENUE 1,Resale,Strata,59,"18,475",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,21 to 25
BLUE HORIZON,"1,510,000","1,216.33","1,241",Dec-21,WEST COAST CRESCENT,Resale,Strata,113,"13,363",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,21 to 25
THE TRILINQ,"1,528,000",914.94,"1,670",Dec-21,JALAN LEMPENG,Resale,Strata,85,"17,976",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
THE INFINITI,"1,730,000","1,291.68","1,339",Dec-21,WEST COAST PARK,Resale,Strata,120,"14,417",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
THE TRILINQ,"1,500,000",914.94,"1,639",Dec-21,JALAN LEMPENG,Resale,Strata,85,"17,647",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,01 to 05
THE INFINITI,"1,600,000","1,248.62","1,281",Dec-21,WEST COAST PARK,Resale,Strata,116,"13,793",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE TRILINQ,"1,300,000",753.48,"1,725",Dec-21,JALAN LEMPENG,Resale,Strata,70,"18,571",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
THE ROCHESTER RESIDENCES,"1,260,000","1,022.58","1,232",Dec-21,ROCHESTER DRIVE,Resale,Strata,95,"13,263",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,31 to 35
ONE-NORTH RESIDENCES,"3,200,000","2,701.76","1,184",Dec-21,ONE-NORTH GATEWAY,Resale,Strata,251,"12,749",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
THE VERANDAH RESIDENCES,"2,039,888","1,097.93","1,858",Dec-21,PASIR PANJANG ROAD,Sub Sale,Strata,102,"19,999",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
WESTCOVE CONDOMINIUM,"1,190,000","1,227.1",970,Dec-21,WEST COAST CRESCENT,Resale,Strata,114,"10,439",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
BLUE HORIZON,"1,069,000",925.7,"1,155",Dec-21,WEST COAST CRESCENT,Resale,Strata,86,"12,430",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,06 to 10
CARABELLE,"2,080,000","1,474.67","1,410",Dec-21,WEST COAST WAY,Resale,Strata,137,"15,182",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
DOVER PARKVIEW,"1,280,000","1,323.97",967,Dec-21,DOVER RISE,Resale,Strata,123,"10,407",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
THE ROCHESTER RESIDENCES,"1,288,000",861.12,"1,496",Dec-21,ROCHESTER DRIVE,Resale,Strata,80,"16,100",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,16 to 20
THE ROCHESTER RESIDENCES,"1,488,888","1,280.92","1,162",Dec-21,ROCHESTER DRIVE,Resale,Strata,119,"12,512",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
TWIN VEW,"1,080,000",710.42,"1,520",Dec-21,WEST COAST VALE,Sub Sale,Strata,66,"16,364",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
THE TRILINQ,"1,900,000","1,345.5","1,412",Dec-21,JALAN LEMPENG,Resale,Strata,125,"15,200",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
ONE-NORTH RESIDENCES,"1,342,800","1,119.46","1,200",Dec-21,ONE-NORTH GATEWAY,Resale,Strata,104,"12,912",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
THE ROCHESTER RESIDENCES,"2,800,000","1,862.17","1,504",Dec-21,ROCHESTER DRIVE,Resale,Strata,173,"16,185",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,31 to 35
CARABELLE,"1,290,000",882.65,"1,462",Dec-21,WEST COAST WAY,Resale,Strata,82,"15,732",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
TWIN VEW,"1,308,000",818.06,"1,599",Dec-21,WEST COAST VALE,Sub Sale,Strata,76,"17,211",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
PARC RIVIERA,"1,025,000",710.42,"1,443",Dec-21,WEST COAST VALE,Resale,Strata,66,"15,530",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
VIVA VISTA,"625,000",376.74,"1,659",Dec-21,SOUTH BUONA VISTA ROAD,Resale,Strata,35,"17,857",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
HUNDRED TREES,"1,095,000",785.77,"1,394",Dec-21,WEST COAST DRIVE,Resale,Strata,73,"15,000",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
WHISTLER GRAND,"750,000",441.32,"1,699",Dec-21,WEST COAST VALE,Sub Sale,Strata,41,"18,293",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,11 to 15
THE TRILINQ,"1,530,000","1,108.69","1,380",Dec-21,JALAN LEMPENG,Resale,Strata,103,"14,854",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
CARABELLE,"2,900,000","2,066.69","1,403",Dec-21,WEST COAST WAY,Resale,Strata,192,"15,104",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,11 to 15
PARC RIVIERA,"980,000",710.42,"1,379",Dec-21,WEST COAST VALE,Resale,Strata,66,"14,848",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,01 to 05
TWIN VEW,"1,560,000",904.18,"1,725",Dec-21,WEST COAST VALE,Sub Sale,Strata,84,"18,571",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,31 to 35
TWIN VEW,"1,720,000","1,140.98","1,507",Nov-21,WEST COAST VALE,Sub Sale,Strata,106,"16,226",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,11 to 15
THE TRILINQ,"2,190,000","1,517.72","1,443",Nov-21,JALAN LEMPENG,Resale,Strata,141,"15,532",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
THE STELLAR,"1,860,000","1,345.5","1,382",Nov-21,WEST COAST ROAD,Resale,Strata,125,"14,880",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
MONTEREY PARK CONDOMINIUM,"2,600,000","2,055.92","1,265",Nov-21,WEST COAST RISE,Resale,Strata,191,"13,613",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,01 to 05
PARC RIVIERA,"1,580,000","1,151.75","1,372",Nov-21,WEST COAST VALE,Resale,Strata,107,"14,766",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,06 to 10
ONE-NORTH RESIDENCES,"1,480,000",979.52,"1,511",Nov-21,ONE-NORTH GATEWAY,Resale,Strata,91,"16,264",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,01 to 05
WEST BAY CONDOMINIUM,"1,000,000","1,216.33",822,Nov-21,WEST COAST CRESCENT,Resale,Strata,113,"8,850",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
THE TRILINQ,"1,660,000","1,044.11","1,590",Nov-21,JALAN LEMPENG,Resale,Strata,97,"17,113",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
BLUE HORIZON,"1,070,000",925.7,"1,156",Nov-21,WEST COAST CRESCENT,Resale,Strata,86,"12,442",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
THE STELLAR,"1,480,000","1,044.11","1,417",Nov-21,WEST COAST ROAD,Resale,Strata,97,"15,258",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
THE INFINITI,"1,560,000","1,259.39","1,239",Nov-21,WEST COAST PARK,Resale,Strata,117,"13,333",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
